ID,Name,Age,DOB,Department,Salary,Joining Date,Performance Score,Tenure,Experience_Level
101,Shawn Price,60,25-04-1973,IT,65628,18-08-2006,Average,18.54,Veteran
102,Sandra Mcdaniel,57,27-01-1986,Finance,34971,03-03-2022,Good,2.99,Intermediate
103,Alec Hughes,51,02-05-1975,HR,38449,11-09-2022,Excellent,2.46,Intermediate
104,Douglas Rice,46,07-06-1999,Customer Support,60969,01-07-2019,Excellent,5.66,Experienced
105,Stephanie Douglas,22,10-11-1984,Customer Support,42061,14-05-2017,Average,7.79,Experienced
106,Randall Smith,48,04-12-1986,Operations,79061,18-11-2017,Average,7.28,Experienced
107,Pamela Berger,44,26-06-1975,HR,66398,02-10-2006,Average,18.41,Veteran
108,Richard Farmer,26,23-04-1980,Operations,53035,13-12-2019,Average,5.21,Experienced
109,Jonathan White DDS,52,28-07-1974,IT,33965,21-04-2017,Excellent,7.85,Experienced
110,James Cohen,22,13-10-1981,Marketing,36277,09-01-2022,Excellent,3.13,Intermediate
111,Bonnie Nicholson,31,01-10-1983,IT,39518,18-01-2019,Excellent,6.11,Experienced
112,James Morrison,51,11-08-1972,Marketing,37706,25-02-2022,Good,3,Intermediate
113,Selena Goodman,42,18-02-1992,Marketing,68716,19-05-2008,Average,16.78,Veteran
114,Joseph White,47,13-08-1972,Finance,84638,05-01-2018,Average,7.15,Experienced
115,Maria Ayala MD,35,05-08-1979,HR,72013,20-05-2008,Good,16.78,Veteran
116,Michael Cooper,31,17-09-1980,Sales,55100,04-10-2009,Average,15.41,Veteran
117,Amanda Howe,30,15-03-1989,Marketing,60092,18-05-2016,Average,8.78,Experienced
118,Virginia Roberts,29,15-12-1993,Operations,95706,25-09-2021,Average,3.42,Intermediate
119,James Rogers,31,03-04-1991,Sales,34801,11-05-2018,Excellent,6.8,Experienced
120,Kyle Kane,37,23-01-2000,Marketing,56213,04-05-2021,Good,3.82,Intermediate
121,Adam Smith,44,14-01-1987,Customer Support,74532,21-08-2023,Average,1.52,Intermediate
122,Hannah Murphy,47,11-09-2000,HR,89033,26-10-2010,Good,14.35,Veteran
123,Arthur Stewart,23,25-10-1974,Finance,67095,09-03-2009,Poor,15.98,Veteran
124,Jeffrey Silva,26,18-11-2000,Sales,67091,16-08-2009,Good,15.54,Veteran
125,Matthew Case,45,25-11-1978,Unassigned,78095,07-08-2009,Average,15.56,Veteran
126,Joanna Farley,32,12-04-1984,Sales,80695,03-05-2019,Good,5.82,Experienced
127,Gregory Drake,44,04-04-1997,Customer Support,85446,27-04-2005,Good,19.85,Veteran
128,Kristopher Rodriguez,35,20-09-1970,IT,52928,07-07-2022,Average,2.64,Intermediate
129,Kathryn Johns,37,22-01-1991,Customer Support,71393,17-08-2018,Excellent,6.53,Experienced
130,Jessica Wells,42,12-08-1996,Marketing,51185,22-08-2020,Average,4.52,Intermediate
131,Maureen Cooper,56,16-03-1998,IT,95640,18-01-2007,Average,18.12,Veteran
132,Jacqueline Garcia,42,04-09-1970,Customer Support,91138,06-09-2014,Excellent,10.48,Veteran
133,Robert Green,27,02-04-1988,HR,51378,06-09-2006,Poor,18.48,Veteran
134,Kristen Kelly,34,18-03-1976,IT,71559,07-04-2020,Average,4.89,Intermediate
135,Sarah Byrd,36,23-01-2002,Sales,79666,21-01-2015,Poor,10.1,Veteran
136,Michael Santiago,38,16-02-1995,Finance,54646,07-12-2009,Average,15.23,Veteran
137,Robin Parsons,48,06-10-1965,Sales,46579,10-09-2007,Good,17.47,Veteran
138,Haley Mendez,43,06-03-1998,Operations,67471,11-10-2012,Poor,12.38,Veteran
139,Julian Weaver,60,03-05-1982,Customer Support,80183,04-01-2014,Average,11.15,Veteran
140,Mary Brewer,46,19-08-1966,IT,76440,02-04-2022,Average,2.9,Intermediate
141,Michael Kaiser,32,03-12-1987,Customer Support,88797,01-01-2009,Average,16.16,Veteran
142,Lynn Williams,46,14-02-1969,Finance,77211,19-03-2023,Good,1.94,Intermediate
143,Frank Mcdowell,32,19-11-1988,Operations,37970,16-06-2012,Poor,12.7,Veteran
144,Ryan Long,56,13-09-1969,Customer Support,35502,10-02-2022,Excellent,3.04,Intermediate
145,Christopher Paul,27,17-09-1996,Unassigned,46754,06-01-2019,Excellent,6.14,Experienced
146,Debra Johnson,27,27-01-1966,Sales,92123,20-07-2009,Average,15.61,Veteran
147,John Butler,25,10-07-1974,HR,58689,09-11-2012,Poor,12.3,Veteran
148,Carol Mosley,33,08-09-2000,Finance,80556,24-03-2023,Good,1.93,Intermediate
149,Sherri Douglas,38,23-07-1995,Finance,59211,05-10-2022,Excellent,2.39,Intermediate
150,Jeff Barnes,37,20-11-1971,Customer Support,80113,26-12-2007,Average,17.18,Veteran
151,Melissa Whitney,52,01-09-1987,Marketing,30056,28-03-2018,Good,6.92,Experienced
152,Lee Guzman,40,22-02-1982,Unassigned,99186,04-10-2017,Average,7.4,Experienced
153,Anthony Reed,52,06-03-1977,Sales,85566,15-12-2022,Poor,2.2,Intermediate
154,Jessica Yates,53,04-01-1967,Operations,85528,05-10-2021,Average,3.39,Intermediate
155,Amanda Patel,41,09-09-1966,Operations,73199,08-12-2021,Average,3.22,Intermediate
156,Gregory Walsh,48,15-01-1980,HR,37403,27-12-2022,Good,2.17,Intermediate
157,Heather Francis,57,22-10-1993,Sales,69462,24-12-2011,Poor,13.18,Veteran
158,Sharon Owens,53,14-04-1976,Customer Support,31811,23-01-2018,Poor,7.1,Experienced
159,Gary Allen,58,07-08-1974,HR,50327,10-10-2015,Poor,9.39,Experienced
160,Ashley Smith,32,15-07-1985,HR,69319,16-05-2018,Average,6.79,Experienced
161,Pamela Scott,60,10-02-1971,Sales,74244,10-02-2013,Average,12.05,Veteran
162,John Fitzpatrick,57,17-11-1992,Finance,55751,04-09-2011,Good,13.49,Veteran
163,Michelle Jones,31,22-05-1974,Marketing,82815,17-04-2015,Poor,9.87,Experienced
164,Tammy Fletcher,42,28-09-1983,Unassigned,71498,19-08-2021,Poor,3.52,Intermediate
